Symbol
AAPL
MSFT
GOOG
AMZN
NVDA
TSLA
META
BABA
CRM
AMD
INTC
ATVI
EA
ZG
YELP
SQQQ
PCG
FSLR
MUR
MOS
DVN
MRO
RIG
RRC
FLR
